Leaving,Starting Location,Arrive,Destination,Distance(mi),Time(hrs)
7/7/2023,Charlotte NC,7/7/2023,Charleston WV,266,4
7/8/2023,Charleston WV,7/8/2023,Indianapolis IN,310,5
7/10/2023,Indianapolis IN,7/10/2023,Fairfield IA,357,5.5
7/12/2023,Fairfield IA,7/12/2023,Indianapolis IN,363,5.5
7/13/2023,Indianapolis IN,7/13/2023,Charleston WV,309,4.5
7/14/2023,Charleston WV,7/14/2023,Charlotte NC,266,4
