Season,Year,Team,Age,PTS,REB,AST
2003,1,CLE,19,20.9,5.5,5.9
2004,2,CLE,20,27.2,7.4,7.2
2005,3,CLE,21,31.4,7,6.6
2006,4,CLE,22,27.3,6.7,6
2007,5,CLE,23,30,7.9,7.2
2008,6,CLE,24,28.4,7.6,7.2
2009,7,CLE,25,29.7,7.3,8.6
2014,12,CLE,30,25.3,6,7.4
2015,13,CLE,31,25.3,7.4,6.8
2016,14,CLE,32,26.4,8.6,8.7
2017,15,CLE,33,27.5,8.6,9.1
