Leaving,Starting Location,Arrive,Destination,Distance(mi),Time(hrs)
7/7/2023,Charlotte NC,7/7/2023,Nashville TN,408,6.5
7/9/2023,Nashville TN,7/9/2023,St. Louis MO,308,4.5
7/10/2023,St. Louis MO,7/10/2023,Fairfield IA,236,4
7/12/2023,Fairfield IA,7/12/2023,St. Louis MO,236,4
7/13/2023,St. Louis MO,7/13/2023,Nashville TN,306,4.5
7/14/2023,Nashville TN,7/14/2023,Charlotte NC,410,6.5
