Season,Opponent,Conference,Opp Rank,Ranked Opp?,Top 15 Opp?,Top 10 Opp?,Top 5 Opp?,Stadium Capacity,Traveled Distance (mi),City,Home Team,Time of Season,H Player Score,F Player Score,H Opp Score,F Opp Score,Half Margin,Final Margin
2014,TCU,BIG 12,4,Y,Y,Y,Y,51802,0,College Park,Maryland,Reg Season,30,59,15,42,15,17
2014,Nebraska,BIG TEN,-,N,N,N,N,85458,1205,Lincoln,Nebraska,Reg Season,56,73,7,21,49,52
2014,Illinois,BIG TEN,-,N,N,N,N,51802,0,College Park,Maryland,Reg Season,23,52,14,21,9,31
2014,Wisconsin,BIG TEN,10,Y,Y,N,N,51082,0,College Park,Maryland,Reg Season,41,71,7,28,34,43
2014,West Virginia,BIG 12,-,N,N,N,N,60000,209,Morgantown,West Virginia,Reg Season,14,42,20,35,-6,7
2014,Penn St,BIG TEN,18,Y,N,N,N,106572,199,University Park,Penn St,Reg Season,21,45,3,22,18,23
2014,Michigan,BIG TEN,-,N,N,N,N,51802,0,College Park,Maryland,Reg Season,34,47,14,29,20,18
2014,Ohio St,BIG TEN,8,Y,Y,Y,N,102082,397,Columbus,Ohio St,Reg Season,28,48,7,39,21,9
2014,Indiana,BIG TEN,-,N,N,N,N,51802,0,College Park,Maryland,Reg Season,35,77,10,17,25,60
2014,Rutgers,BIG TEN,-,N,N,N,N,51802,0,College Park,Maryland,Reg Season,35,42,14,35,21,7
2014,Alabama,SEC,9,Y,Y,Y,N,100077,814,Tuscaloosa,Alabama,Reg Season,35,77,34,63,1,14
2014,Michigan St,BIG TEN,5,Y,Y,Y,N,75005,586,East Lansing,Michigan St,Reg Season,42,56,14,49,28,7
2014,Nebraska,BIG TEN,22,Y,N,N,N,67000,572,Indianapolis,BIG TEN Championship,Post Season,14,49,17,24,-3,25
2014,South Carolina,SEC,2,Y,Y,Y,Y,72200,2278,Glendale,National Championship,Bowl Season,13,41,17,34,-4,7
2015,Nebraska,BIG TEN,-,N,N,N,N,85458,1205,Lincoln,Nebraska,Reg Season,48,77,0,21,48,56
2015,Minnesota,BIG TEN,-,N,N,N,N,51802,0,College Park,Maryland,Reg Season,20,69,7,21,13,48
2015,Wisconsin,BIG TEN,12,Y,Y,N,N,80321,844,Madison,Wisconsin,Reg Season,42,77,10,31,32,46
2015,West Virginia,BIG 12,-,N,N,N,N,51802,0,College Park,Maryland,Reg Season,49,112,17,24,32,88
2015,South Carolina,SEC,12,Y,Y,N,N,51802,0,College Park,Maryland,Reg Season,21,42,7,21,14,21
2015,Penn St,BIG TEN,-,N,N,N,N,51802,0,College Park,Maryland,Reg Season,42,84,14,27,28,57
2015,Michigan,BIG TEN,11,Y,Y,N,N,107601,521,Ann Arbor,Michigan,Reg Season,42,84,21,42,21,42
2015,Ohio St,BIG TEN,9,Y,Y,Y,N,51802,0,College Park,Maryland,Reg Season,14,44,14,14,0,30
2015,Indiana,BIG TEN,-,N,N,N,N,52929,621,Bloomington,Indiana,Reg Season,21,52,7,14,14,38
2015,Rutgers,BIG TEN,-,N,N,N,N,52454,194,Piscataway,Rutgers,Reg Season,31,48,21,21,10,27
2015,Georgia,SEC,5,Y,Y,Y,N,93246,606,Athens,Georgia,Reg Season,49,91,21,56,28,35
2015,Michigan St,BIG TEN,22,Y,N,N,N,51802,0,College Park,Maryland,Reg Season,56,91,10,24,46,67
2015,Wisconsin,BIG TEN,8,Y,Y,Y,N,67000,572,Indianapolis,BIG TEN Championship,Post Season,20,38,14,34,6,4
2015,South Florida,BIG EAST,2,Y,Y,Y,Y,76468,1098,New Orleans,National Championship,Bowl Season,34,58,0,0,34,58
