Season,Year,Team,Age,PTS,REB,AST
2010,8,MIA,26,26.7,7.5,7
2011,9,MIA,27,27.1,7.9,6.2
2012,10,MIA,28,26.8,8,7.3
2013,11,MIA,29,27.1,6.9,6.3
