Brand,Model,Year,Rank,Type,Engine Type
Acura,'95 NSX,1995,4,Car,Gas
Porsche,'22 Taycan Turbo,2022,10,Car,Electric
Porsche,'16 911 4 GTS,2016,3,Car,Gas
Jaguar,'20 F-Pace SVR,2020,1,SUV,Gas
Jeep,'20 Grand Cherokee SRT,2018,7,SUV,Gas
Audi,'20 S5 Coupe,2022,2,Car,Gas
Honda,'89 Prelude,1989,9,Car,Gas
Ford,'16 F-150 Raptor,2014,8,Truck,Gas
Mercedes,'21 AMG GT,2021,6,Car,Gas
Mazda,'89 RX-7 FC,1989,5,Car,Gas
