Season,Year,Team,Age,PTS,REB,AST
2018,16,LAL,34,27.4,8.5,8.3
2019,17,LAL,35,25.3,7.8,10.2
2020,18,LAL,36,25.2,7.7,7.8
2021,19,LAL,37,30.3,8.2,6.2
